"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Jan-2022","EQ","2,462.00","2,477.00","2,432.95","2,458.10","2,461.85","2,469.60","2,455.69","2,751.35","1,830.00",5373618,"13,195,934,862.50",210976
"04-Jan-2022","EQ","2,415.90","2,461.00","2,404.00","2,403.85","2,460.00","2,458.10","2,437.26","2,751.35","1,830.00",5006225,"12,201,491,701.65",208647
"03-Jan-2022","EQ","2,365.00","2,407.95","2,363.55","2,368.15","2,407.95","2,403.85","2,392.64","2,751.35","1,830.00",2502073,"5,986,568,510.10",105190
"31-Dec-2021","EQ","2,373.00","2,383.90","2,360.00","2,359.10","2,368.50","2,368.15","2,370.53","2,751.35","1,830.00",4373768,"10,368,136,137.70",138728
"30-Dec-2021","EQ","2,400.00","2,404.95","2,345.60","2,402.50","2,364.00","2,359.10","2,366.88","2,751.35","1,830.00",13537254,"32,041,015,240.70",226181
"29-Dec-2021","EQ","2,391.00","2,419.00","2,382.10","2,398.40","2,398.00","2,402.50","2,400.08","2,751.35","1,830.00",7118779,"17,085,610,789.25",169024
"28-Dec-2021","EQ","2,375.60","2,404.85","2,373.05","2,370.25","2,404.00","2,398.40","2,389.02","2,751.35","1,830.00",2941883,"7,028,226,280.45",121810
"27-Dec-2021","EQ","2,361.55","2,378.00","2,348.10","2,372.80","2,371.00","2,370.25","2,366.87","2,751.35","1,830.00",1853948,"4,388,054,040.05",89509
"24-Dec-2021","EQ","2,370.00","2,392.00","2,337.55","2,365.25","2,367.15","2,372.80","2,360.96","2,751.35","1,830.00",3639616,"8,592,980,567.85",159321
"23-Dec-2021","EQ","2,374.00","2,380.00","2,358.05","2,366.10","2,365.00","2,365.25","2,367.28","2,751.35","1,830.00",4186912,"9,911,598,013.55",173393
"22-Dec-2021","EQ","2,324.90","2,371.90","2,322.00","2,311.25","2,365.00","2,366.10","2,346.81","2,751.35","1,830.00",8149415,"19,125,125,458.70",222615
"21-Dec-2021","EQ","2,311.35","2,346.00","2,292.20","2,277.35","2,313.00","2,311.25","2,317.69","2,751.35","1,830.00",5924071,"13,730,177,504.20",241858
"20-Dec-2021","EQ","2,317.85","2,317.85","2,247.10","2,340.45","2,276.80","2,277.35","2,277.67","2,751.35","1,830.00",6611376,"15,058,513,385.60",331211
"17-Dec-2021","EQ","2,398.05","2,408.00","2,320.00","2,403.90","2,343.40","2,340.45","2,346.72","2,751.35","1,830.00",9714489,"22,797,150,333.50",301459
"16-Dec-2021","EQ","2,405.70","2,415.50","2,368.65","2,373.20","2,413.95","2,403.90","2,392.29","2,751.35","1,830.00",4504829,"10,776,855,117.15",187830
"15-Dec-2021","EQ","2,384.00","2,405.00","2,361.10","2,380.15","2,369.90","2,373.20","2,379.84","2,751.35","1,830.00",4322855,"10,287,701,638.50",199178
"14-Dec-2021","EQ","2,380.00","2,406.00","2,373.40","2,409.65","2,382.50","2,380.15","2,386.78","2,751.35","1,830.00",5995586,"14,310,134,060.60",248926
"13-Dec-2021","EQ","2,473.50","2,474.10","2,404.00","2,458.95","2,411.45","2,409.65","2,425.30","2,751.35","1,830.00",5954148,"14,440,614,208.20",240510
"10-Dec-2021","EQ","2,440.25","2,466.00","2,430.35","2,456.45","2,457.25","2,458.95","2,443.62","2,751.35","1,830.00",3860176,"9,432,810,632.75",177038
"09-Dec-2021","EQ","2,435.00","2,474.90","2,425.00","2,418.10","2,453.00","2,456.45","2,453.15","2,751.35","1,830.00",6098050,"14,959,457,280.85",248350
"08-Dec-2021","EQ","2,424.10","2,431.80","2,406.30","2,381.85","2,420.95","2,418.10","2,418.81","2,751.35","1,830.00",4035437,"9,760,953,632.95",175071
"07-Dec-2021","EQ","2,376.15","2,404.00","2,360.00","2,362.60","2,382.00","2,381.85","2,387.87","2,751.35","1,830.00",5185007,"12,381,107,849.30",233720
"06-Dec-2021","EQ","2,416.00","2,425.00","2,357.15","2,408.25","2,365.95","2,362.60","2,388.06","2,751.35","1,830.00",4768334,"11,387,071,064.70",210176
"03-Dec-2021","EQ","2,498.40","2,498.50","2,400.00","2,482.85","2,413.15","2,408.25","2,436.10","2,751.35","1,830.00",8871172,"21,611,045,769.40",283259
"02-Dec-2021","EQ","2,469.70","2,496.20","2,461.60","2,467.00","2,481.95","2,482.85","2,482.51","2,751.35","1,830.00",5870468,"14,573,515,872.05",248052
"01-Dec-2021","EQ","2,433.00","2,474.00","2,425.10","2,405.40","2,467.75","2,467.00","2,449.60","2,751.35","1,830.00",4663276,"11,423,147,561.65",202787
"30-Nov-2021","EQ","2,468.00","2,475.90","2,388.85","2,441.50","2,401.20","2,405.40","2,424.91","2,751.35","1,830.00",14847511,"36,003,821,297.30",381257
"29-Nov-2021","EQ","2,439.10","2,500.00","2,399.10","2,412.60","2,437.70","2,441.50","2,464.20","2,751.35","1,830.00",11226147,"27,663,493,598.00",375905
"26-Nov-2021","EQ","2,467.80","2,477.60","2,401.50","2,492.95","2,405.10","2,412.60","2,433.36","2,751.35","1,830.00",7274686,"17,701,896,486.35",306992
"25-Nov-2021","EQ","2,373.00","2,502.00","2,357.15","2,351.40","2,501.00","2,492.95","2,452.67","2,751.35","1,830.00",19568487,"47,994,998,310.55",497536
"24-Nov-2021","EQ","2,380.00","2,409.90","2,343.55","2,385.85","2,343.55","2,351.40","2,376.12","2,751.35","1,830.00",7762564,"18,444,768,823.80",291051
"23-Nov-2021","EQ","2,333.05","2,401.25","2,309.00","2,363.75","2,389.95","2,385.85","2,362.47","2,751.35","1,830.00",11688406,"27,613,501,135.60",393864
"22-Nov-2021","EQ","2,436.10","2,449.00","2,351.00","2,473.30","2,365.65","2,363.75","2,380.24","2,751.35","1,830.00",11133364,"26,500,112,857.50",469744
"18-Nov-2021","EQ","2,460.00","2,489.00","2,450.05","2,464.00","2,473.00","2,473.30","2,467.65","2,751.35","1,830.00",3925345,"9,686,386,834.65",218820
"17-Nov-2021","EQ","2,498.95","2,498.95","2,461.00","2,517.90","2,462.80","2,464.00","2,479.92","2,751.35","1,830.00",4708235,"11,676,042,764.70",240722
"16-Nov-2021","EQ","2,572.05","2,575.00","2,495.00","2,577.80","2,497.25","2,517.90","2,536.01","2,751.35","1,830.00",5232292,"13,269,127,406.10",209557
"15-Nov-2021","EQ","2,600.00","2,602.20","2,570.00","2,593.10","2,574.50","2,577.80","2,581.57","2,751.35","1,830.00",2216708,"5,722,594,256.70",107475
"12-Nov-2021","EQ","2,562.90","2,598.75","2,557.00","2,554.55","2,588.00","2,593.10","2,582.61","2,751.35","1,830.00",4020744,"10,384,009,844.25",149602
"11-Nov-2021","EQ","2,540.05","2,570.50","2,535.55","2,549.90","2,556.00","2,554.55","2,551.89","2,751.35","1,830.00",4948422,"12,627,828,736.25",216865
"10-Nov-2021","EQ","2,516.70","2,558.00","2,503.65","2,521.70","2,546.45","2,549.90","2,538.63","2,751.35","1,830.00",4731975,"12,012,742,203.00",168600
